name,ID,age,birth_zoo,birthdate,child_as_father,child_as_mother,cur_zoo,dead_cause,deaddate,father,gender,image,mother,move_date1,move_date2,move_date3,move_zoo1,move_zoo2,move_zoo3,reading
円美,21,9,円山動物園,2016年6月15日,,,大森山動物園,,,エイタ (https://www.notion.so/11f42aa6316c804ea645c09c902cbbdc?pvs=21),メス,"https://www.codaworry.com/images/submitted/XUcRH39ADR-.jpg, https://www.codaworry.com/images/submitted/WcHtQRiADQP.jpg",ギン (https://www.notion.so/12342aa6316c806a9e68f66572e94f65?pvs=21),2022年11月2日,,,大森山動物園,,,マルミ
ソラ_平川,22,11,平川動物公園,2014年6月12日,,,羽村市動物公園,,,スバル (https://www.notion.so/13242aa6316c80b395e4c2435c30e420?pvs=21),メス,"https://livedoor.blogimg.jp/maiaitsuki/imgs/8/9/896cad97-s.jpg, https://livedoor.blogimg.jp/maiaitsuki/imgs/8/9/89bf18e9-s.jpg, https://livedoor.blogimg.jp/maiaitsuki/imgs/8/d/8d500709-s.jpg, https://livedoor.blogimg.jp/maiaitsuki/imgs/e/d/ed809436-s.jpg, https://livedoor.blogimg.jp/maiaitsuki/imgs/8/b/8bfb3c76-s.jpg, https://www.codaworry.com/images/submitted/W-Kg3jgADQA.jpg",風美 (https://www.notion.so/11f42aa6316c80d7875de6f56117e2a2?pvs=21),2015年8月28日,,,羽村市動物公園,,,
ラテ,23,12,こども動物自然公園,2013年6月11日,,,羽村市動物公園,呼吸機能不全,2023年8月29日,ミンミン_徳山 (https://www.notion.so/_-12442aa6316c80139098d955928163de?pvs=21),オス,"https://livedoor.blogimg.jp/maiaitsuki/imgs/f/d/fdeefbfc.jpg, https://pds.exblog.jp/pds/1/201704/03/24/f0224624_00204666.jpg, https://pds.exblog.jp/pds/1/201704/03/24/f0224624_01053881.jpg, https://cdn.4travel.jp/img/thumbnails/imk/travelogue_pict/68/68/80/650x_68688013.jpg?updated_at=1610463825, https://cdn.4travel.jp/img/thumbnails/imk/travelogue_pict/68/68/80/650x_68688016.jpg?updated_at=1610463896, https://cdn.4travel.jp/img/thumbnails/imk/travelogue_pict/68/68/80/650x_68688033.jpg?updated_at=1610483340, https://cdn.4travel.jp/img/thumbnails/imk/travelogue_pict/68/68/80/650x_68688039.jpg?updated_at=1610483499, https://livedoor.blogimg.jp/maiaitsuki/imgs/a/f/afcb7c79-s.jpg, https://livedoor.blogimg.jp/maiaitsuki/imgs/2/5/25091a77-s.jpg, https://livedoor.blogimg.jp/maiaitsuki/imgs/7/7/772a943f-s.jpg, https://livedoor.blogimg.jp/maiaitsuki/imgs/7/3/735c61f0-s.jpg, https://www.codaworry.com/images/submitted/VyVNR3DADQA.jpg",ナツ (https://www.notion.so/12342aa6316c80a29464cfbc9f106817?pvs=21),2015年7月13日,,,羽村市動物公園,,,
アル,24,12,秋吉台サファリランド,2013年8月15日,"たけのこ (https://www.notion.so/15642aa6316c80d58d70fd23a66619ac?pvs=21), ルカ (https://www.notion.so/19f42aa6316c8080b19ef98d432b6de7?pvs=21)",,羽村市動物公園,,,航航 (https://www.notion.so/14042aa6316c80f897b7d151bd3ca33c?pvs=21),オス,"https://www.codaworry.com/images/submitted/YXz8rV9ADQA.jpg, https://cdn.4travel.jp/img/thumbnails/imk/travelogue_pict/31/89/85/650x_31898544.jpg?updated_at=1389873051, https://cdn.4travel.jp/img/thumbnails/imk/travelogue_pict/31/89/85/650x_31898563.jpg?updated_at=1389875107",ルナ_とべ (https://www.notion.so/_-13642aa6316c80bcbcf6f48952bd2161?pvs=21),2015年12月1日,2020年2月17日,,みさき公園,羽村市動物公園,,
チィチィ,25,22,茶臼山動物園,2003年6月16日,,"風花 (https://www.notion.so/11f42aa6316c800fa227f25878fbbbcf?pvs=21), ユウタ (https://www.notion.so/11f42aa6316c80358a2de3c0b5b6a6b4?pvs=21), 風美 (https://www.notion.so/11f42aa6316c80d7875de6f56117e2a2?pvs=21), 風鈴 (https://www.notion.so/11f42aa6316c800187a5e578bf30fb7c?pvs=21), チイタ (https://www.notion.so/11f42aa6316c80238961fb25e0fede9c?pvs=21), クウタ (https://www.notion.so/11f42aa6316c80fb9ea3dd349ef4b7f8?pvs=21), コウタ (https://www.notion.so/11f42aa6316c80be94e3f541051482ed?pvs=21), エイタ (https://www.notion.so/11f42aa6316c804ea645c09c902cbbdc?pvs=21)",千葉市動物公園,腸閉塞,2015年7月18日,勇勇_市川 (https://www.notion.so/_-13342aa6316c800bbe80f5db1da4d40c?pvs=21),メス,https://www.codaworry.com/images/submitted/UtOe1NsADQA.jpg,流星 (https://www.notion.so/12342aa6316c8060a96af9fbfd9072f1?pvs=21),2005年3月7日,,,千葉市動物公園,,,
風花,26,19,千葉市動物公園,2006年6月2日,,"優花_徳山 (https://www.notion.so/_-11f42aa6316c800181a0e4e1ceb58c76?pvs=21), スミレ_徳山 (https://www.notion.so/_-11f42aa6316c807789b4d6717e4402df?pvs=21), アヤメ (https://www.notion.so/11f42aa6316c8097835ffc0d624ef05e?pvs=21), カリン_徳山 (https://www.notion.so/_-11f42aa6316c80fb8636d61519cc02a4?pvs=21), イチゴ (https://www.notion.so/11f42aa6316c807a9110ee98304b8df7?pvs=21)",徳山動物園,,,風太 (https://www.notion.so/11d42aa6316c80048117e5497d3f5ab0?pvs=21),メス,https://www.codaworry.com/images/submitted/XnMjloXADQA.jpg,チィチィ (https://www.notion.so/11f42aa6316c8046a02ee69b287382c2?pvs=21),2008年6月30日,2014年4月9日,2015年11月17日,徳山動物園,到津の森公園,徳山動物園,フウカ
ユウタ,27,19,千葉市動物公園,2006年6月2日,百合 (https://www.notion.so/11d42aa6316c80f6a217d300f01fc367?pvs=21),,大森山動物園,循環不全,2022年5月23日,風太 (https://www.notion.so/11d42aa6316c80048117e5497d3f5ab0?pvs=21),オス,https://www.codaworry.com/images/submitted/WH0cAgiADQA.jpg,チィチィ (https://www.notion.so/11f42aa6316c8046a02ee69b287382c2?pvs=21),2008年10月18日,,,大森山動物園,,,
風美,28,18,千葉市動物公園,2007年7月11日,,"瞬平 (https://www.notion.so/11f42aa6316c8064a733fcfd5fd9191f?pvs=21), ソラ_平川 (https://www.notion.so/_-11f42aa6316c80eea4b2f46f506898dc?pvs=21), キラ (https://www.notion.so/14642aa6316c803c8c65c3d883b1fd8b?pvs=21)",平川動物公園,心不全,2023年12月14日,風太 (https://www.notion.so/11d42aa6316c80048117e5497d3f5ab0?pvs=21),メス,"https://www.codaworry.com/images/submitted/YtttxVsADQh.jpg, https://www.codaworry.com/images/submitted/W1TSY6uADQA.jpg",チィチィ (https://www.notion.so/11f42aa6316c8046a02ee69b287382c2?pvs=21),2011年2月7日,,,平川動物公園,,,フウミ
風鈴,29,18,千葉市動物公園,2007年7月11日,,,茶臼山動物園,,,風太 (https://www.notion.so/11d42aa6316c80048117e5497d3f5ab0?pvs=21),メス,"https://www.codaworry.com/images/submitted/We6TbYnADQA.jpg, https://pds.exblog.jp/pds/1/201411/02/25/e0157225_20432780.jpg, https://pds.exblog.jp/pds/1/201411/02/25/e0157225_20451741.jpg, https://pds.exblog.jp/pds/1/201411/02/25/e0157225_2044276.jpg, https://www.codaworry.com/images/submitted/WmjiomRADQH.jpg, https://www.codaworry.com/images/submitted/XW0ZHEAADQB.jpg",チィチィ (https://www.notion.so/11f42aa6316c8046a02ee69b287382c2?pvs=21),2008年6月30日,,,茶臼山動物園,,,フウリン
チイタ,30,17,千葉市動物公園,2008年6月27日,"アラタ (https://www.notion.so/15642aa6316c80779d4bd8954905f754?pvs=21), ミライ (https://www.notion.so/15642aa6316c8086a565d7f571348e00?pvs=21)",,浜松市動物園,,,風太 (https://www.notion.so/11d42aa6316c80048117e5497d3f5ab0?pvs=21),オス,"https://www.codaworry.com/images/submitted/WyFbWmeADQA.jpg, https://www.codaworry.com/images/submitted/W1yzCkMADQA.jpg, https://www.codaworry.com/images/submitted/WwEy6y7ADQA.jpg",チィチィ (https://www.notion.so/11f42aa6316c8046a02ee69b287382c2?pvs=21),2010年9月16日,,,浜松市動物園,,,
